__docPath,__docId,evm,notifications.sent.morning,notifications.sent.morningSummary,notifications.sent.progress,notifications.sent.progressReminder,updatedAt
users/DgApBqtxpeVE5G5MnIVw9ThpyN93/metrics/2025-11-26,2025-11-26,,,,1,,2025-11-26T12:00:02.424Z
users/DgApBqtxpeVE5G5MnIVw9ThpyN93/metrics/2025-11-27,2025-11-27,,,,1,,2025-11-27T12:00:02.289Z
users/DgApBqtxpeVE5G5MnIVw9ThpyN93/metrics/2025-11-28,2025-11-28,"{""idealProgress"":0.05,""riskLevel"":""ok"",""actualProgress"":0.2,""eacDate"":""2025-12-06"",""spi"":2.38}",,,1,,2025-11-28T12:00:06.440Z
users/DgApBqtxpeVE5G5MnIVw9ThpyN93/metrics/2025-11-29,2025-11-29,,,,1,,2025-11-29T12:00:01.780Z
users/DgApBqtxpeVE5G5MnIVw9ThpyN93/metrics/2025-11-30,2025-11-30,"{""actualProgress"":0,""riskLevel"":""warn"",""eacDate"":"""",""idealProgress"":0.61,""spi"":0}",,,1,,2025-11-30T12:00:03.379Z
users/DgApBqtxpeVE5G5MnIVw9ThpyN93/metrics/2025-12-01,2025-12-01,"{""actualProgress"":0,""riskLevel"":""warn"",""eacDate"":"""",""idealProgress"":0.63,""spi"":0}",,,1,,2025-12-01T12:00:01.924Z
users/DgApBqtxpeVE5G5MnIVw9ThpyN93/metrics/2025-12-02,2025-12-02,"{""actualProgress"":0,""riskLevel"":""warn"",""eacDate"":"""",""idealProgress"":0.64,""spi"":0}",,,1,,2025-12-02T12:00:01.931Z
users/DgApBqtxpeVE5G5MnIVw9ThpyN93/metrics/2025-12-03,2025-12-03,,,,1,,2025-12-03T12:00:03.722Z
users/DgApBqtxpeVE5G5MnIVw9ThpyN93/metrics/2025-12-04,2025-12-04,"{""riskLevel"":""late"",""actualProgress"":0.36,""eacDate"":""2026-01-25"",""idealProgress"":0.59,""spi"":0.54}",,,1,,2025-12-04T12:00:02.713Z
users/DgApBqtxpeVE5G5MnIVw9ThpyN93/metrics/2025-12-05,2025-12-05,"{""riskLevel"":""warn"",""eacDate"":"""",""spi"":0,""actualProgress"":0,""idealProgress"":0.33}",,,1,,2025-12-05T14:06:26.502Z
users/DgApBqtxpeVE5G5MnIVw9ThpyN93/metrics/2025-12-06,2025-12-06,,,,1,,2025-12-06T12:00:03.065Z
users/DgApBqtxpeVE5G5MnIVw9ThpyN93/metrics/2025-12-07,2025-12-07,,,,1,,2025-12-07T12:00:02.075Z
users/DgApBqtxpeVE5G5MnIVw9ThpyN93/metrics/2025-12-08,2025-12-08,"{""riskLevel"":""warn"",""eacDate"":"""",""spi"":0,""actualProgress"":0.2,""idealProgress"":0.58}",1,,2,,2025-12-08T14:41:02.035Z
users/DgApBqtxpeVE5G5MnIVw9ThpyN93/metrics/2025-12-09,2025-12-09,"{""riskLevel"":""late"",""actualProgress"":0.38,""eacDate"":""2025-12-11"",""idealProgress"":1,""spi"":0.6}",5,,1,,2025-12-09T13:53:02.059Z
users/DgApBqtxpeVE5G5MnIVw9ThpyN93/metrics/2025-12-10,2025-12-10,,1,,1,,2025-12-10T13:53:02.146Z
users/DgApBqtxpeVE5G5MnIVw9ThpyN93/metrics/2025-12-11,2025-12-11,,1,,1,,2025-12-11T13:53:06.635Z
users/DgApBqtxpeVE5G5MnIVw9ThpyN93/metrics/2025-12-12,2025-12-12,,1,,1,,2025-12-12T13:53:02.627Z
users/DgApBqtxpeVE5G5MnIVw9ThpyN93/metrics/2025-12-13,2025-12-13,,1,,1,,2025-12-13T13:53:02.662Z
users/DgApBqtxpeVE5G5MnIVw9ThpyN93/metrics/2025-12-14,2025-12-14,,1,,1,,2025-12-14T13:53:01.865Z
users/DgApBqtxpeVE5G5MnIVw9ThpyN93/metrics/2025-12-15,2025-12-15,"{""actualProgress"":0.36,""idealProgress"":0.75,""riskLevel"":""late"",""eacDate"":""2026-08-29"",""spi"":0.07}",2,,1,,2025-12-15T13:00:02.067Z
users/DgApBqtxpeVE5G5MnIVw9ThpyN93/metrics/2025-12-16,2025-12-16,"{""riskLevel"":""late"",""actualProgress"":0.36,""eacDate"":""2026-08-30"",""idealProgress"":0.77,""spi"":0.06}",1,,1,,2025-12-16T13:00:01.355Z
users/DgApBqtxpeVE5G5MnIVw9ThpyN93/metrics/2025-12-17,2025-12-17,"{""riskLevel"":""late"",""actualProgress"":0.36,""eacDate"":""2026-08-31"",""idealProgress"":0.8,""spi"":0.05}",1,,1,,2025-12-17T13:00:02.681Z
